Selling Order ID,Customer ID,Team ID,Date,Shipping Address,Money Amount,Order Status
367147,954055,3,2023-01-07 00:00:00.000,Port of New York and New Jersey,252982,Delivered
287481,323628,1,2023-01-08 23:16:34.975,Port of Singapore,499260,Delivered
654279,658592,3,2023-01-10 22:33:09.950,Port of Hamburg,248286,Delivered
155331,778262,5,2023-01-12 21:49:44.925,Port of Hong Kong,299002,Delivered
957225,310126,3,2023-01-14 21:06:19.899,Port of Dubai,300396,Delivered
170992,210838,3,2023-01-16 20:22:54.874,Port of Hong Kong,214899,Delivered
867880,390271,3,2023-01-18 19:39:29.849,Port of Tianjin,499036,Delivered
667828,895789,1,2023-01-20 18:56:04.824,Port of Valencia,374767,Delivered
579704,132718,3,2023-01-22 18:12:39.799,Port of Los Angeles,387594,Delivered
761494,447300,1,2023-01-24 17:29:14.774,Port of Dubai,405570,Delivered
390891,548747,1,2023-01-26 16:45:49.749,Port of Rotterdam,429989,Delivered
352441,926157,5,2023-01-28 16:02:24.724,Port of Shanghai,465515,Delivered
305850,845265,5,2023-01-30 15:18:59.698,Port of Los Angeles,93585,Delivered
845277,863131,5,2023-02-01 14:35:34.673,Port of Valencia,421369,Delivered
712353,462623,3,2023-02-03 13:52:09.648,Port of Ningbo-Zhoushan,114044,Delivered
384934,265072,5,2023-02-05 13:08:44.623,Port of New York and New Jersey,485773,Delivered
720697,500999,1,2023-02-07 12:25:19.598,Port of Qingdao,492296,Delivered
707615,389610,3,2023-02-09 11:41:54.573,Port of Rotterdam,159556,Delivered
278075,745492,5,2023-02-11 10:58:29.548,Port of Ningbo-Zhoushan,52693,Delivered
464265,426989,1,2023-02-13 10:15:04.523,Port of Los Angeles,407403,Delivered
910412,911514,5,2023-02-15 09:31:39.497,Port of Shanghai,293307,Delivered
545301,921604,3,2023-02-17 08:48:14.472,Port of Guangzhou,250235,Delivered
112452,783300,5,2023-02-19 08:04:49.447,Port of Los Angeles,75939,Delivered
993670,105299,3,2023-02-21 07:21:24.422,Port of New York and New Jersey,492141,Delivered
374948,565382,5,2023-02-23 06:37:59.397,Port of Ningbo-Zhoushan,486157,Delivered
316484,671960,5,2023-02-25 05:54:34.372,Port of Busan,202906,Delivered
875766,651538,3,2023-02-27 05:11:09.347,Port of Qingdao,68047,Delivered
854806,524817,1,2023-03-01 04:27:44.322,Port of Shanghai,338249,Delivered
882431,136868,5,2023-03-03 03:44:19.296,Port of New York and New Jersey,125766,Delivered
977389,147094,3,2023-03-05 03:00:54.271,Port of Antwerp,458923,Delivered
561485,114419,1,2023-03-07 02:17:29.246,Port of Busan,465192,Delivered
347587,196781,5,2023-03-09 01:34:04.221,Port of Guangzhou,94262,Delivered
437291,591981,1,2023-03-11 00:50:39.196,Port of Singapore,437261,Delivered
352020,125235,1,2023-03-13 00:07:14.171,Port of Ningbo-Zhoushan,335920,Delivered
451260,181265,1,2023-03-14 23:23:49.146,Port of Dubai,211152,Delivered
128945,945199,1,2023-03-16 22:40:24.121,Port of Singapore,178376,Delivered
354204,988321,3,2023-03-18 21:56:59.095,Port of Qingdao,187848,Delivered
411714,634600,1,2023-03-20 21:13:34.070,Port of Singapore,142787,Delivered
877100,889452,5,2023-03-22 20:30:09.045,Port of Shanghai,177948,Delivered
208413,104714,5,2023-03-24 19:46:44.020,Port of Antwerp,105016,Delivered
741750,235823,1,2023-03-26 19:03:18.995,Port of Qingdao,452690,Delivered
485311,411315,3,2023-03-28 18:19:53.970,Port of New York and New Jersey,71959,Delivered
672044,830713,5,2023-03-30 17:36:28.945,Port of New York and New Jersey,186602,Delivered
872266,653131,3,2023-04-01 16:53:03.920,Port of Rotterdam,275928,Delivered
285402,299164,1,2023-04-03 16:09:38.894,Port of Antwerp,431245,Delivered
303381,505091,3,2023-04-05 15:26:13.869,Port of New York and New Jersey,315892,Delivered
701252,319911,1,2023-04-07 14:42:48.844,Port of Tianjin,278576,Delivered
959141,606345,1,2023-04-09 13:59:23.819,Port of Shanghai,63545,Delivered
944583,497405,3,2023-04-11 13:15:58.794,Port of Dubai,439803,Delivered
847110,938834,1,2023-04-13 12:32:33.769,Port of Rotterdam,215838,Delivered
748804,691256,5,2023-04-15 11:49:08.744,Port of Rotterdam,385674,Delivered
178962,766967,1,2023-04-17 11:05:43.719,Port of Busan,405701,Delivered
957291,345872,5,2023-04-19 10:22:18.693,Port of Los Angeles,111087,Delivered
257129,521592,5,2023-04-21 09:38:53.668,Port of Ningbo-Zhoushan,118840,Delivered
423632,666010,1,2023-04-23 08:55:28.643,Port of Rotterdam,168451,Delivered
582970,814637,3,2023-04-25 08:12:03.618,Port of New York and New Jersey,497600,Delivered
561899,202054,1,2023-04-27 07:28:38.593,Port of Los Angeles,363149,Delivered
197535,787144,1,2023-04-29 06:45:13.568,Port of Hamburg,489792,Delivered
236006,837848,5,2023-05-01 06:01:48.543,Port of Rotterdam,89353,Delivered
756979,478871,1,2023-05-03 05:18:23.518,Port of Los Angeles,243075,Delivered
451358,893896,1,2023-05-05 04:34:58.492,Port of Hong Kong,264283,Delivered
876511,538641,3,2023-05-07 03:51:33.467,Port of Los Angeles,364877,Delivered
920564,223783,1,2023-05-09 03:08:08.442,Port of Guangzhou,115318,Delivered
457387,919353,5,2023-05-11 02:24:43.417,Port of Tianjin,291025,Delivered
903015,203060,3,2023-05-13 01:41:18.392,Port of Guangzhou,466880,Delivered
255507,366086,3,2023-05-15 00:57:53.367,Port of New York and New Jersey,117172,Delivered
196672,463067,5,2023-05-17 00:14:28.342,Port of Los Angeles,266688,Delivered
129783,276510,1,2023-05-18 23:31:03.317,Port of Tianjin,306951,Delivered
989424,508713,1,2023-05-20 22:47:38.291,Port of Valencia,143264,Delivered
584902,191764,5,2023-05-22 22:04:13.266,Port of Dubai,296458,Delivered
930167,661511,5,2023-05-24 21:20:48.241,Port of Rotterdam,338880,Delivered
462243,325998,1,2023-05-26 20:37:23.216,Port of Shanghai,275281,Delivered
341261,183706,3,2023-05-28 19:53:58.191,Port of Tianjin,162859,Delivered
164204,356928,5,2023-05-30 19:10:33.166,Port of Hong Kong,424325,Delivered
680381,407564,3,2023-06-01 18:27:08.141,Port of Rotterdam,444070,Delivered
137416,968342,3,2023-06-03 17:43:43.116,Port of Busan,402228,Delivered
458809,619832,1,2023-06-05 17:00:18.090,Port of Hamburg,481839,Delivered
966656,422547,3,2023-06-07 16:16:53.065,Port of Singapore,319536,Delivered
527054,253778,5,2023-06-09 15:33:28.040,Port of Hong Kong,367824,Delivered
751655,416195,3,2023-06-11 14:50:03.015,Port of Shanghai,307426,Delivered
486274,959849,1,2023-06-13 14:06:37.990,Port of Hamburg,227789,Delivered
467272,334097,1,2023-06-15 13:23:12.965,Port of New York and New Jersey,268164,Delivered
573716,467523,1,2023-06-17 12:39:47.940,Port of Tianjin,363003,Delivered
358822,729154,5,2023-06-19 11:56:22.915,Port of Valencia,175657,Delivered
451662,496548,1,2023-06-21 11:12:57.889,Port of Valencia,285167,Delivered
810476,858602,5,2023-06-23 10:29:32.864,Port of New York and New Jersey,207381,Delivered
892095,569719,1,2023-06-25 09:46:07.839,Port of Los Angeles,244806,Delivered
863486,990778,5,2023-06-27 09:02:42.814,Port of Los Angeles,120467,Delivered
347519,343402,1,2023-06-29 08:19:17.789,Port of New York and New Jersey,233734,Delivered
170980,672439,3,2023-07-01 07:35:52.764,Port of Busan,148506,Delivered
314972,525462,3,2023-07-03 06:52:27.739,Port of Rotterdam,159751,Delivered
265758,688040,1,2023-07-05 06:09:02.714,Port of Antwerp,431050,Delivered
229815,827062,5,2023-07-07 05:25:37.688,Port of Rotterdam,455904,Delivered
593204,376483,3,2023-07-09 04:42:12.663,Port of Los Angeles,337486,Delivered
923249,918069,3,2023-07-11 03:58:47.638,Port of Qingdao,218229,Delivered
711391,402675,1,2023-07-13 03:15:22.613,Port of Hamburg,418452,Delivered
709668,641910,3,2023-07-15 02:31:57.588,Port of Dubai,495299,Delivered
392499,861103,3,2023-07-17 01:48:32.563,Port of Shanghai,156081,Delivered
923996,614907,3,2023-07-19 01:05:07.538,Port of Los Angeles,139045,Delivered
112948,206586,1,2023-07-21 00:21:42.513,Port of Hong Kong,84698,Delivered
253823,436844,1,2023-07-22 23:38:17.487,Port of Busan,160078,Delivered
390530,105431,3,2023-07-24 22:54:52.462,Port of Singapore,392767,Delivered
109511,254523,5,2023-07-26 22:11:27.437,Port of Antwerp,72671,Delivered
128189,577890,1,2023-07-28 21:28:02.412,Port of Hamburg,468400,Delivered
475289,850018,1,2023-07-30 20:44:37.387,Port of Antwerp,405528,Delivered
777808,664623,3,2023-08-01 20:01:12.362,Port of Rotterdam,485323,Delivered
121714,878091,5,2023-08-03 19:17:47.337,Port of Rotterdam,136202,Delivered
907627,917224,3,2023-08-05 18:34:22.312,Port of Rotterdam,101663,Delivered
498685,835381,5,2023-08-07 17:50:57.286,Port of Busan,65708,Delivered
996956,989131,5,2023-08-09 17:07:32.261,Port of Guangzhou,404050,Delivered
